id;n;e;d;p;q;t1;
0;b42efdca5870ec4d49e808083fe539e44b4aabf6323aa68abb4413afcc011038570c5816aa4b75bf51d62ef1062e9eb6f56b510b82ba53c17cc696b6bb41dacdf74aee4281dc27b8fc859ccb82d6e22801955597f3965afb996ee2a1404c711d5329beb8cdfbde4d465818ac7c2029fc172cbbe3ee95949d01b9ff7d003466e9;10001;483ddefb55e2509bdc59ef7e7f3fc4aa4795b4c48cf6fef6f8861eee88f8942c429a6c6709f81f4989e23a07e0d6a843eaba105071258b973413db31807ab2e2dcef21b8e8444667557afe698240f1dcdf5bb0a41b776b57a61e578ee3e8543fdc60f8bf316aefe65aa6b093475727488afd1b346a70138e82c2f0a593418a01;c805d8d972b505212bf200f901b14216ca30d138934e247214c65618919aec93cbefa887fa4cf5a3503568d046755954b1f24381e0d7702b1491fcb0dac06db9;e69bce998f0144b246f294f5608120bb460a4ca567e2d28205840e4b8acf0e60228e908ecdbd28cc273091719604c5fa93828190b98f8d7c452375042601dab1;17685447;
1;e77fb536028bd3ccf0dbbfc690054855d3226158591930245582f8510714d12a0d73c5616140b78578bd341f29a499282a611baeb458a1de6808ef89fed331646fe35c88a06c0d9aa533186bc68e3ddaddac98c5198c3d1ba34b3280f616b98bae3d4a8b4ac5c992619fc284f44cc05f04b483fe8e004ffa22f87504b2efd5d1;10001;142b6e506c5c5e71c6b27ebd002355b0149b343c0c57437886f2c84bd7001b513ca6cf95b2717f0be3ff282166f16e5eaf829274e045b0a4be0fb93f1eb2abe4d7e2ade65b9a9851c58b203afcb51d960ee7b8e6a1177d9f48e069bc74f76b9ebdc68c6eaef3602447f36f47a664d04463018a28ea9ef8771fa9f2a440599bd9;fa6bd0229cf45abf726b447f5053196c3448d3648cbd1a30c4a6febcd2ade9130e310a4334f74ff860b3b53c345936dbae8b1368022d94eab2fef591c7a6a67b;eca7fa769fcdf64503099066301b4c1a2c50526870eacfc2db117aa769cdc0dca19aa2249ac7ca683bef9559b62824677b8e7148f2f210c728e8fc41bcaa4923;31118870;
2;c53d2fa3b221641b8ad4766fb32b2f115288b93e9a29a3f6352e17bbfb4552807dc36520689c83730eb2d154466cada9df0629f9e9ea5972389bb18efcbbfddfd868b3ac66a903b4d1fae2735389bd0527c8c4c42c91d399fa410e332dc9d935a20dd5b4db15904d8a6c309e238cad135494e3e3bfeca0327bad25e98cc96d67;10001;16da0ceff14e6f13c5d4f1d7e53146a5c223371b2aaf5260cf2e84ef71a0497bbb966cdc0162c8d406caeef7cda4ffc5e3a20a30fb49fc8d004401a16864bb7804b48d05b4e987a9fe089f9328d0850a19a1eebb87b754118f0401081e97e6074e8a57e8a78a6510972bad07b95af68ff8b0cf6d387780d1f0cb6b4522da6689;d79350800296ef038562635ba6acdaa989d33b8351f226d68f2d63042280fec922d9b10a88d30214e3e1b4139754689992c05823002838866f7286af0666644b;ea39a1cec40ccd441b0c15e87e95249f065fcb5a76649cebc5c91f6567ddb806fea8bfca10e269b549b6bf73d82838c753d3203be17de58cc5e3070d8b6d11d5;21053649;
3;b44b69bc6751c5825aba074ccc5a4d3f8a13689d4a393e3769e88683a444844a3dc21851a59bdc0bd060ae2b9e37bf610930c35e78818a4a073626331ceb97c978d87a0ef041b586ec5941d8cfcc81de656457054144f553bc0575f046facff7f732e2bfa655aee81ffa09692c315c40ae0d19c8b1e89bebc833ae1050f3dcd9;10001;2635893e0d636e0937330f92fe07f131131113eda9aa41fe3a6ab5ff3613f3394ca752c212e7da1582deca6aa2084c7dc315db81ace63f297b27c5a6b56d546859fd7f37f2fe9acc7feea6d465256474eb1822689a136bcc3e7aabb1c87f0d205c55d4fbcc8c50ea35f0a59467a377009211d3fed25c63ca8144a1edc390c4a5;e50e80420e0330f0a7b924fe24f95cf079c1323f850aaa479bb31d116a296dd139e5a8527c2263f85ba9a65b8345542324771cb2a811934e0e41f4d5b9d590cb;c9808ed04a2bd4f2ac01c4e0c97fd2384d1f5404a25e0da37bc83734a411bc678e47498c1edcd6bb83e5b653d825952307603d7999c9f1b9c74e06d1d53e086b;11638522;
4;9e6225a4df9b547d517282ce49a5c57927b8a6e6a3bb8f3f53031948ae5f11a6852ade0d844f2d1dcf2cbc739e702ace34c07368205bbacd525a77761e8f0e0f6b9cf17b38b15c0220ca52158cfd3f7a5e01333fbf9246f18d3b4df7dded5e611b2599b866cbf28d19b9d0a0d7dfafe82592c4e48834b13f74f968a2e4494f1f;10001;6f5fab02fe6e97022cb4ee80ab4f53c6b784e47089308a31c869046d9498ababc236fbc0db8a65ba71860edaeace0b7bc7a29144e6843a9ec94b6e77f4533a59c836dca84421d11415cb3267a61e0478162681bad3e0f96068f462bbece5148b458d5b8258ddeea4b7e0d6b4350674c5b67bad1f7fb0717e769a160c747cdbc1;c1cd35ffad9b56b56e7454342016acf4967fbd580f9a19bf86619ad5df605a96446afef3661f5bdbde10bed69f57a57c6603caeffa16dbf11579e710dabe3fa1;d136f76018f2ac61cb88173a8a64ce2ea4113ee1a10cc8b4459b1772ad31666c9385883ed382c77bc0abb199a0aa9ad0bdcfe4cd125321c989739a936ae016bf;13203908;
5;b9d4b9c20696688cd696cb3880d495402201200aeafd72c94f15bbf7f1057179ee0836cbf28f8c800de5f3c74818a3463b4382ec5e88df6662dfecfd338b66f9f62cf0ff6ac6d189a786c6edbd2bde3c176f4c32b5d6c5ed1a440a430b420f6a66225cbbb426f67f35e0fba597f5d2e39fe8f6608fcecde613d1068b463121c7;10001;2ac9b263dc84715a4c66b8303069c25bdbf88a5a39355662c7d4e74cf5b01d2ac8061827e997e7efec435058485f73e8cde88392cd4992b6ce7964e600224ef946501817c24bcdafaf6204b8c8a8333c9f926fb1ef92173bfc4d31e3f59f5571a306e1b36120f7a8b73fd3295fe38cb72b392da66d09506e4c72adf488a9f051;ecb796bb915f3c9fcc800392199a632b80e5f302c3cac9abc9560d77907475d277f157fa054702e5922e50cb081a598ba101b1311c993ef019cc67b10ce1d55b;c8f7f9ab6570acd7b80cc4540c991de13557fe371dfc4322131f9f9aa9bd6e6b19eb0b077668e9a1537a9315240bfbb93d4b59248c042a6efd398b49ceee9505;37749147;
6;d38f590ba5c812aaed6ed91d33f8ff679141349e0f0749ebc731ee73db8cac480e9b7b6181f3152380fa1f1218c0776876c65ccf0cbbc0caf7efdcafb49f8fbfa7f2d52519e32048d5718dbcb3bfbb4e1b97dfc7ca3838b2a7a146fcf6951df0fca098fefe44240ff19db25c514b4bd9ff00a0cda5197287f7a445490c133117;10001;82c6da0499365453d4f1f0c45c9c4f45764518819c48a5295ab942eddb89d9f5b111ebf31aa1692fc94ad46a1b62de6d74fea9e053bebc2ebb954a9652d14fc9c99b5eceef7faf047f337c294a473a3e357eba796e8e223365584e246ae8ad3ebc0b4f43c4d8c628c2a794de35be1ea7925d2e09064a6caf49e4f714a023361;dc015fee4ef449dedbdb18482a4819bfb68c845bbdb0b018a09fdb6ee928fb6f9b6e3c30b54b4732f6de622bc5ba526b8888723371615ee197ca91d8c212e36d;f62c3f9014721512bb5b713aa9eb448126c852fa8d1697f5c8a6810291fd931728eb1ccfc69142c4a88bcd86374468d06d8ac8723ce5dbe1134950ccc15b9013;22112200;
7;e3e54acbf0928c3858d615016f1efa44eaa2d863e7c42d90d0c186a5f1a924ffe5d3da296c4f9cd9c06ea481794b340ccedb013d8e0dbae52b971ee66a4d65d60cf2d9e4a7758f44c11867a224a3a530aa65c4ed62b8eafee7248f506500058ffa39ba6314fde4ec4d31f6655238460d7d26fa1f1b72251ced98b769e6c88f73;10001;7081a8155a64deb88a92d5b7e985df83da5a1e7de3d363b3547bd5df6298605dbcb683c363674245f5cc298689bce8ab520ba8671d14062a5104c00a7c7c4d431a594ced5d0309650f67f006b172b81cea9d1955b2949ed0dc622bd87f0808b714d616cf6da1f4a4b5b52c9312b333c3b5453cd4133504270795885ada2de381;fc087ad5c01dd7d9c5816a96547e7ca6d9a2a6fa4eaa724ffa5f37505db94e2cb52bddc9948dfefb6c739c30bd170d7f3829c0fed5e6c9fb1d7aaab2876fa5d3;e77b8e15ad5f6b854f2337bc60447ab859d263724397955cb87e3169e3eb4c3664ce3774534f2b88a2e28296b3f05174fd26fbfff0e76a2a583d3191ccc14be1;16929261;
8;c7ff2b91be0c2bddae14654c3d65a6db712d55da02df7087d06fefdffd1c0cfd54de4290bc79c8534de6faaae7d9cc58754db3cf68a6b683137feff96aa136c0f95ad0882df2f9232eba058c254a9d3f99633a1742cdce6a25a27b90ca084d49b182d88383237ba84b86dd941cf075396bc7382d8756777ea20c3c496ca4da4b;10001;75ab45582f87fbbb26f3eb11ab4206a52ff6ab7f6497501f285ce3b656b64d5233bfbd4c690801fc39667fef541049f175baece34840663bc29a5077dfebd04937b92269d841e48dd5f453b1f7b4069a2fcdc9404f6ddec456e1c73702efc295f79017bf62f6145d3e6478f5baedb994f209dcc7088cb444de5f34a30b2b3a81;fd40da17206db26a298bdc6468be6c3c7e4e66b6701dc8bf30034f59acd3f7471ab6a3e9473f9a8516287b073d3ec234b8d750b54b39f4e4c91aea7391340bc1;ca2a741691d5a1a79a305c53fa32f57a2b8a40a00e7faca293963fbfc7d0181f1c26dacfa2808e21e54171449b6ba3aa0459154ea6c732acbcff7454b4e2990b;24254587;
9;b722822227bf02c69bca13236ec2cba9300a6845bba47c1391b633fec2ba06f256d972a0f70ad1da4db5afea2071bc7f7fab874217db33702bcdda5d1b9c36a33b151d8eab406386ed45a9c3dc5d08f41f0feb0386aebad5dfcd836fffdcaf2ff922ecd2406da709aeb0cec60e7bb9a2c26f4dd3e960f7797d8fc6431c5e4073;10001;96ab7683614dfe9ba68adfaa143381d9c5a39a5c5ce01c11019df53351c43978e2496ecccdd38209e84b65daeb2c881821d2deaa5af44662b03761c39eb6ac1fc53dca76f901bf7ac43ef75162c642774e795b8ea9b86672938aace66a9ea03744e6e85247665e2e884d1c6f9e23ece45dc565da6c44a87d59442f822e215851;dfda5b37a61d2cef155df6d7d0d01ab32d1c2ec0f7c9490c8d68788f24cdb2fe1e9325d56ffd1bbf0035624b3920dee717f9cda05460cac89b181972dc41a4cb;d16f3496bf966274c955cc965af229d89ee15da28f03c10879254329efe4573290bc7ca298be7f1abc40ab921996ae9d52e8d67011b8ce4c758199622c4705f9;21466209;
10;f05610b1b9fb55338eb718246a8030cdd9bb9543bee223fc5f66b4c50cfa4de0ff36d0dab7122fb4f4bbdd3154588031eb32acc6f1f61e2a01c0ec24c06db54cedc39144d1050c30c6d526e08f7f83842a482be61d1fe9da4e0bc0f15e7627e087de2bbde9c8da4081d7acb9553f15a5bf0c4c8310d6f73023ba037443b40215;10001;601fcc25896140be924220e1cfc6ddbe376b9353b930f17bab1c85089b1c31b1dfe1a8bf11a1b07b0bb767cca7138e9268a3a7ff1a1f7a090b12826060a6807031ed9b2bce601ecc2f46789fc86ff3cd067b1cadd2f3ced29f5f64beadfdaa335acf52aa62eec0bd3bf9d98fb9004518917bf1f39acd99cfcc70503005323001;f89f611471160f57713cbcb6e8602aa4c3b6830540478e36add3038a497419b9f9ff956f272a7e68fd6a7f68036da75e8e48c5b5c3d880f8cc24cb5d582fa715;f777bd662753d847b7000ed7e08d5adb00c2ee22254bf9e9425d7ff8759375146aeb12e9683f646fc034de27886ebab8e2fa6b7fc94a5c753d685378ba59af01;55715170;
11;c404fbc13488b5dbb2371ff53763a8a0998aa2a5f21c0f27931185da77fc0ca37a3962ac0a845e9d5a385bb5d0239a4ea1501c0d6911c3a74adc5b1fe64a6932d334da722c453b54256eea49980d5e9d3e9c44db2b579b218f352a1dfe20886169a1375800d096799bf99f90ae2bda8bd78fa11aa3634932e30bd31f30cf09a9;10001;974d296df638d7f69e570269eab917fdeec61dc96d59cf30c2ca31c171ffb159b60bf967c62e6a4196d40da606e49444c12aee9c434f9cefd24ec85f950836add38726440cd76973c4e83437219c18fd9c808ffaf5ae60d31eed232c916667c7a5a286286e1a6173bdb2964a652aad978bea656973f6745f4bbb8cd776fe1d89;cf02eb05cbaa7d83d38122c624e26d8b84fcb085a815f32a5cd4034e33c872c2c742426cce422a6cf2e3101c9a978cd29fdbbd4a96e58b512e713b409af2e3ef;f26828110e833f8dbffa8bfe3683a473aeae67a15d317d5e0568ae708b9b5af369f418a4729edc8717cde0f9e4da859a3d113b8e40bcfa7830892e7b05b173e7;16621422;
12;c9189a1e252648457f5d5a83c52df41c2286a0136b9602f2f862d6ebdc332006af0149ea6984eb77493a23ad824bbf72b518135a5b897c80913ab887e174f1ceb1e85fcd3af8dca082ec545bdf035ca93c96a3ed43f903278d7975d1be51c9d2d99a929a4de1c1327ddce93d4f8c2a2d1e760843edc4b90ac136daf07f667a9f;10001;4ddfb4170665dbc8e5f89dcbb77903363dfc8a52daefddb67f8faf10e955f709ff8d6d3554a57f95d30aabb44e67ccfcbbba560c40b46e3d4f8040e385e0869ec67080682259b0b27d11f60929ef3af378dd1e492dd39c2a2b45d454fb7d341c4ad3417eb29ff34be17c6e0fbae5f04d89bc4ee671a38579d034d06706ee5079;ffdaa00938c39ea46eb312667336253d97ffba2cab058faf494acabcb4e31c306f9a74868602785cdb693a7f0a76e66cd817698145121bb70dd3f8f8653cda23;c935fa585247eed98879045b09e477e66cbb3c337cf8b772e7daf3135811c002120bb1b8ea45cf7558732ecc0f2e5964a4b9c7e0b91ead2149e8d013868e0f55;31286457;
13;d1ccd64cf44f389bdf83e6be2f98bdfedabc50f3e3cab14bed1197e3b0589c496c88ddf6b76c02f44083ec1c1a5b14f4f93795a0299c4f6e69ffadc694f9db43dcf1aa03b084a4c72be54e57a8f9f6aaf4cc8a1ca3a59c5e364dab630d45e8328ff1725d46ba0965e1914d45cdf5320c47198685f9802079242941dce8619c47;10001;1726c37f3a768388afe19e54de6bbc8ba317a4d7450bd904c7e4691e77175027ca12506c29518201f21c9cb17d370fd8f8a7699b82fbfcc7f26a8482a56ded041cbd425760e886bd889106f32f360d0e236708ae5cfecc34c1a039cad26c650226973af937f3e1f68eced91267a8a0be79b13d2409cb088aab38b34491066001;feaece4da9a66ea3f4413e033993f695af95b53023926050bf47e7f46677c6b738a7be52d32f37d77518c4925d5159d592f030ee993ec0792a121edc6027ee41;d2e29b8c00132dfe6d7f444974bc38926c1c59d48301eaef8623607e13dc06e9f0714b3f0533d00dd47deb348c006e9dfaf7d1709e05d2c581e67b73eb84f887;22700211;
14;a884a8de9024bdf79d24a2490c1b9aa5797e94ad89a4af48eb201647f6e07e6c31d0b96f9e43c4f1db6ee88186b5e4b5d1fe6a5423d40c42b9c5c3ec309047ed53fd75945ba0cad27f8c1c23a67ceac1635d66bd15d0a54c50d697c037b2d0437c77e4c8d6e61505276a386fe64e76060eb2124f8984fb7af2e5aff97177b17f;10001;430849f8061467705894daecfda0f959fb430bb71ffa5f333d3c0d40e10619a3c60905ca4d851d912b3d29c56425746d92b385ee2436540e32c16516cd9686d54e24b26f4643428c4031b1ff6e12b2fbff85d03c54a10285a357d5e869d7a23b7ccefcd0da2801709d9ba76a7e8c29187a16ca9648b4ee546495107dfc6d5981;de5840756ef53229b9734db0930eb6af105984bf78242cc034f7d4a037c16eae4f103f98c142773b305f5a64df1d5b422d69bb4aa24c93216ca80bfebb9a5fbf;c206a80bae19eac79a03d9360b178a5f9f8176e93609f76d25be99540771ea67a6a8a0e5e4dd37159449f895d86484286f9a40a36f97011413da12ea9b331e41;21646640;
15;c04de7a95ea57e331029ef1f423c4e124e18d92a7294f48c17b1b2ffb8aa6ac40d513ada8c31720cd7edea4df34e1aef60b49c216539c337a8e33ba38519fffb5c4fce6878f7b81bba670dbb50d45ec95860dba35ee70abb1594d1762297da1970cdeaf1ad96f24046f6312ebfe195ff9e7352ca070bde416252461692ce09c9;10001;28d1a085d4003edc69e6ecc9eece4c281889afb711e14a535e482add9afe197189fe1f06fad1180b5fde3168e06748d25ced99628151147e010c52c16fe447f05dbb8cda48213846e1c9a1919db21f302fee7a6345eee356cc5cd6c96d58ffdb10d9118545b066a3b01fc97d5274d98761426e87460fb15f93968c3c00cdbc71;e389127168e60af21b21be59ef4e38b574eb0b0014989a31aa06ca305f4e07eaddd212627cd8ddb4d1974d4e729bef400e82ba804703cd77af25a02cf355c25d;d85c8a350fd211b68c824a42887cc3f799f2945636bdca125c31f9afb91f49e3eb7adac7a0ac7b3182aac587326b5bd8561119135bfa042d55353a1e2975465d;27525869;
16;c800eae5c452a9a8abd48690385568c20c986010832b1d646e95488f33623ae67ea7cbec4e0f3d4fcef14e35da1be49c3d9708f16d61c72ce4cb402fe90a9ba57d897703b510f5cc401ed4ae6dddc517189d0e2c0c3c99b32e98c7fd06055c9681ae78634029340c7e8d591a7fed80012b64c8a4b67bd720ee5a30d93c65dcd1;10001;780514f10cff0e10ca0c9f33ac9a9462de6c1239d67ce9067bd5d9d51560bd37d4899d361121d40930865e08b2fa4a15f85fca5e16e5b6409a8bddd8e2601b46036031b59fcb32d9fbe44e501c9d46f69346f50c49968bc22106c5b2c2d99fbda21f948abf6374adcb22d5958708cddb29b5937ee83cd94f8105cf6debbf8001;cdb461580f267cb478753c9927e82d7750cdc7abe7d9488f4f733f7d9deda794598801ec0c928cecabfd8dbec8eb6c7545d6a4c6599bbbd840852c4184258591;f8e7b1c0c7dd053ea2cdfae475c7f390320ef5f8c1a2b5968fba01c5219b55df5bd39ecef96167e5b54aa25f7c7ca0f4b9e964b985857c7ab5312fffb14a4341;43667789;
17;cd81bbb790fede964dfa90e69205f57725341a2a451a7f7d8ba5c17c5d887ba791ff6a5cbce58f5c622d5818d1e0b83b8f04eef055dbb64ba1222fa929921e440c22576b45ffa7fc99fea4daa14ed4663331e24af8a5bab4a8da4986baaf0d08ff6fd5844982688542cd91eafb869c64564119c7a433e7b96923bd29352d4f51;10001;a06d6b7664d9a237e1cdfe3a10ba582257c7b1b957d2d4bdd43b64ad4a73165cfd2b5003ef6ea198b407c3e3344c62661442fca85fce32241e390acddae6f77a2f7c7eade3a8e6f0067a0bcdf3748bf927726efb772264bbedb9d494d91f134c5bb72f92ab6142e99a798026d276a0d54a882550880c63607501a4ab8de8ca41;e22ff720e5f8ae7004cb923b1e98b27873b82876f0bdc8f1829c88a29bbc18694e269891a32dc908944c902bd33e05aa420fbc63a62f4855744ca4a8aa9451e9;e897f620b3a080f670fdd73e2cd6ab90a6622929dee53f7c220b52d2e8c5edddd1dcf96319c242926a9110e06a2436ef2eb889ddb7d99a4c1f0fd72e6e530929;20346148;
18;ae7719c1efad200b6d3882ad2c6a8704ede5e1772eacb35e7c11ddaf5a8cf6c1d7646bb5d64451b975c8628b7a0d458d5a0536a83c10682d1732ec5f724914ee58668fbfc841440800f7e7a0ce6eb34b1ff46f842f589925365c1d2b474fd050ecd5c878af7e43d571ec80efcfed745af0167f360652bfdd56c5c0891f938223;10001;2e0b20b11e2002a5015e389e9b6a41d7fb31002004216ff52fa947684fed83f204766c36c125a6abdb79d708185e084d15c4ea77dbe2389c2dd332aebdeaabab0ba71326ed10ab0dda2efcc73cc7434d0aa974e76d7c544898db89b8020753e8efd5e8b65ffdb44653e8c9d391e8909809637c05fa9267850553e2071800ab81;e458a85c19af329bb5c81ec1beb1d69393d292f16597db8ddfb5d95c414dae8c65a1d95b593219108f40456162764290a4fba4071d1f47a43d3bac7d7e009737;c397fc7ee9a9a1317c4134c4a21d024eaad288ba10817beb737ae39bb26be6cbd0658a0c64eb7b76d9ec719ace24fb502f3a0938ff19dcc2bccfd4a7126bca75;44322762;
19;b18f2a62a4a2e736c0afc4c025eb9e75a25b335ef0f8a3bcb16aa17bd3735351e3936d46436eeeeec6e1084eec1ffa4f0b3587fc51b7087f18ff05cac070bea6f227d82e5bdb0c90ebe4fe9e2883c491906cd8e7a51029eb9bcc0215467b5218f91b7f2ce8ca45d086fe44069d7cc4e692510de53b7e615baec5ea87d6f1addb;10001;a2a501ae5a20deaac8d638e3c9d88ace366a542423979e64ba1f72cc7a64a96dd988b2102ab4f328c6045c17ef335b960c2e7ce223f80550671533b9058e411424fe50b34db0f35feeb6250b661da51472054a0d826f2eefe5986cc5bf35882bae61678881362ebc0f825a8c3deee2f75270a7639e3ef306e95bd98021c6241;cf505238c3ee9f2b84b207515ae7321b48ad3f1dd658f342453c870b32e47bfd421d9a5ecc5e6bbc95f1fd525d695e54493bd8183f5130ab65ad266518bf29b7;db4201a7688db81ac013c4cd93080e27949a3a2f8dc6495c496cbdc6c01871423caad511e5061ee9a574a028f4c53476c3fff2d93e1376422d622b7417f62cfd;17232811;
